129.33	131.33	130	132.78	135	137.89	134.44	140.11	138.78	143.44	138.11	137.56	135.44	133	132.22	147.22	113.67	124.44	125.89	126.89	129.33
129.22	131.11	128.22	132.78	134.11	134.78	134.89	140.33	138.78	145	138.22	138.22	134.33	133	129.33	121.56	124.67	125.11	126.78	126.67	129.22
129.67	131.67	128.22	132.67	134.33	136.67	135.33	140	137.78	143.33	138.11	137.44	134.78	132.56	144.78	110.56	139.67	126.22	126	127.67	129.67
126	130	128.44	133	133	135.78	134.11	138.89	140	142.67	138.11	137	136	133	150.33	116.44	125.44	126.78	125.56	125	126
128.44	132.78	129.67	133	134	135.67	135.33	140	139.67	143.11	136.44	136.89	136.11	131.44	121.11	125.33	127	125.89	125.89	126.78	128.44
130.44	130.56	129.78	132.67	133.78	135.78	135.56	138.22	139	143.11	136	136.33	135.44	137.22	112	140.67	127.33	126.78	127	126	130.44
128.11	129.89	129	133.78	133.78	134.78	134.67	139.33	137	144.44	137.44	136.33	135	152.44	113.22	130.44	128.89	126.44	124.89	126.11	128.11
129	132.33	127.33	134.11	134.11	135.67	135.56	139.67	137.78	143.56	136.44	135.67	135.33	142.56	123.89	125.67	128.22	127	124.89	126.44	129
127.11	131.44	129.56	132.89	133	135.44	135	141.44	139.56	143.22	136.44	136.22	133	116.33	139.22	126.78	127.44	126.67	125.89	126.78	127.11
128.22	130.33	127.56	133	133	135.56	134.67	137.67	138.56	143.67	136.44	136.22	147.44	112.22	136.67	127.89	126.89	126.78	126.33	126.56	128.22
129	129.44	128.44	133.11	133	136	135	140.33	139.33	144	137.11	137.22	155.33	119.67	126	128.11	127	127	125.78	125.67	129
127.89	130.67	129.11	132.56	133.78	136.56	134.56	141.67	138.11	143.22	136.89	135.22	129.89	133.11	132.11	127.67	128	126.44	125.67	125.89	127.89
127.56	129	129.44	133.22	133	136.22	135	140.89	138	143.67	137.33	140.22	119	145.56	133.22	127.33	128	126.44	125.11	125.67	127.56
127.33	131.44	128.56	132.78	133.56	135.22	134.78	140	137.78	143.11	138.22	153.22	124.56	126.89	131.44	126.78	128	126.44	125.78	124.44	127.33
128.33	129.56	128.78	133	133	136.44	134.67	140.67	137.78	143.11	135	141.89	131.56	129.89	131	127.78	127.56	126.67	125.89	126	128.33
128.89	131	127.89	133.33	133	135.78	134.78	139.89	137.89	143.44	131.67	123.56	146.44	132.67	131.67	125.89	128.56	127.89	125.33	124.67	128.89
128.56	130.67	128.11	134.67	133	136.22	135	140.44	139.89	142.67	149	120.56	144.44	133	131.33	126.56	128.67	127.67	125.56	126.11	128.56
128.33	130.11	128	133.11	133	135.67	137.22	140.78	139.33	142.67	148.89	130.67	128.11	132.89	131.67	127.56	128.56	126.33	126.33	125.89	128.33
128	131.78	127.89	133.56	133.78	137.44	135.67	140.44	140	138.33	133	150	132.33	133	133.11	127.44	128.78	126.67	127	125.44	128
129.33	130.56	128.67	132.56	133	138	135.67	138.44	140	152	124.33	160.33	133.89	133.78	131.89	127.22	128.78	126.56	126.89	126.89	129.33
127.56	130.22	128.56	132.67	133.78	136.78	135.11	140.44	138.56	153.67	130.44	133.11	134.89	133.78	131.33	128.56	128.67	126.44	125.11	125.67	127.56
