Frame 	X_1 	Y_1 	nX_1 	nY_1 	Disp 	Ori_Disp 	Radius_1 
279.000000	98.816663	93.772797	0.218092	1.820993	0.167482	1.834006	19.951160	
280.000000	98.786171	92.862345	0.187599	0.910541	0.910963	0.929666	19.935441	
281.000000	98.543160	93.072280	-0.055412	1.120476	0.321134	1.121845	19.935983	
282.000000	98.550558	92.557452	-0.048013	0.605648	0.514881	0.607548	20.001333	
283.000000	98.980441	92.508207	0.381870	0.556403	0.432694	0.674840	20.089274	
284.000000	98.570666	92.192695	-0.027905	0.240891	0.517169	0.242502	20.052537	
285.000000	98.491716	91.661422	-0.106856	-0.290382	0.537107	0.309418	20.002675	
286.000000	98.794957	90.738509	0.196385	-1.213295	0.971455	1.229086	20.010365	
287.000000	98.681547	90.385703	0.082976	-1.566101	0.370586	1.568298	19.999233	
288.000000	98.845102	90.186601	0.246531	-1.765202	0.257666	1.782335	20.002121	
289.000000	97.843250	89.635266	-0.755321	-2.316538	1.143537	2.436567	19.992472	
290.000000	97.651764	89.034219	-0.946807	-2.917584	0.630812	3.067367	19.992207	
291.000000	97.506628	87.896575	-1.091943	-4.055229	1.146865	4.199669	19.968036	
292.000000	96.995167	87.998410	-1.603404	-3.953394	0.521501	4.266173	19.939834	
293.000000	96.639513	87.665108	-1.959058	-4.286696	0.487422	4.713138	19.917723	
294.000000	95.841062	87.919153	-2.757509	-4.032651	0.837892	4.885297	20.000996	
295.000000	95.501575	87.588104	-3.096996	-4.363700	0.474178	5.351006	20.008997	
296.000000	94.649176	87.683165	-3.949395	-4.268639	0.857684	5.815410	19.965093	
297.000000	94.476653	87.311615	-4.121918	-4.640188	0.409650	6.206574	19.986508	
298.000000	94.647289	87.649836	-3.951283	-4.301967	0.378827	5.841195	20.016379	
299.000000	94.734993	88.508065	-3.863578	-3.443739	0.862698	5.175575	19.910348	
300.000000	95.191232	88.409314	-3.407340	-3.542490	0.466803	4.915201	19.891000	
301.000000	94.834356	89.182509	-3.764215	-2.769295	0.851582	4.673148	19.948995	
302.000000	95.176694	88.805164	-3.421877	-3.146640	0.509494	4.648719	19.910149	
303.000000	95.098432	89.491481	-3.500139	-2.460322	0.690765	4.278336	19.932286	
304.000000	95.424665	90.108088	-3.173906	-1.843715	0.697590	3.670554	19.916231	
305.000000	95.881593	90.308779	-2.716979	-1.643024	0.499058	3.175138	19.958819	
306.000000	95.546196	89.944977	-3.052375	-2.006827	0.494816	3.652992	20.052520	
307.000000	94.664366	90.520631	-3.934205	-1.431172	1.053092	4.186434	19.943052	
308.000000	94.900933	90.918639	-3.697638	-1.033165	0.463005	3.839265	19.964312	
309.000000	94.641925	91.433385	-3.956647	-0.518419	0.576237	3.990465	19.912509	
310.000000	95.152953	91.533077	-3.445618	-0.418727	0.520662	3.470967	19.935342	
311.000000	95.287578	91.466036	-3.310994	-0.485768	0.150393	3.346438	20.035938	
312.000000	95.080594	91.486322	-3.517977	-0.465482	0.207975	3.548639	19.989833	
313.000000	94.936109	92.244684	-3.662462	0.292880	0.772003	3.674154	19.934833	
314.000000	95.187926	92.198198	-3.410646	0.246394	0.256071	3.419534	19.871951	
315.000000	95.053733	92.817941	-3.544838	0.866138	0.634106	3.649120	19.818033	
316.000000	95.123015	92.716710	-3.475556	0.764906	0.122670	3.558732	19.832355	
317.000000	95.559133	92.424941	-3.039438	0.473138	0.524717	3.076044	19.832860	
318.000000	95.045553	92.796666	-3.553018	0.844862	0.633990	3.652086	19.798515	
319.000000	95.664068	92.927874	-2.934503	0.976070	0.632279	3.092575	19.848406	
320.000000	96.166338	93.044219	-2.432233	1.092415	0.515569	2.666295	19.820674	
321.000000	96.473347	93.356670	-2.125224	1.404866	0.438041	2.547593	19.801835	
322.000000	96.679814	92.581065	-1.918758	0.629261	0.802616	2.019307	19.826220	
323.000000	96.166271	92.300701	-2.432300	0.348898	0.585089	2.457196	19.901223	
324.000000	96.331260	91.990493	-2.267312	0.038689	0.351355	2.267642	19.877864	
325.000000	96.424468	91.958643	-2.174103	0.006839	0.098500	2.174114	19.917527	
326.000000	95.734284	91.626112	-2.864288	-0.325692	0.766114	2.882745	19.989463	
327.000000	95.332948	92.403387	-3.265623	0.451584	0.874772	3.296698	20.020443	
